instance,node_id,u_x_mm,u_y_mm,u_z_mm,u_mag_mm
Q2-CORE,3887,-0.01247739,-0.009124551,0.0044718934,0.01609162800014019
Q2-CORE,3888,-0.013448025,-0.008072129,0.0018346505,0.015791598707437515
Q2-CORE,3889,-0.013872463,-0.006681348,-0.0005383268,0.015406993217766285
Q2-CORE,3890,-0.014942859,-0.0057765804,-0.0042713895,0.016580188646912575
Q2-CORE,3891,-0.016588582,-0.00504133,-0.006092271,0.01837693713605404
Q2-CORE,3892,-0.01914149,-0.0035965405,-0.008964424,0.02144044265151024
Q2-CORE,3893,-0.02130978,-0.0021711858,-0.011339242,0.024236317723989487
Q2-CORE,3894,-0.023513583,-0.00042846613,-0.014612059,0.02768726274371147
Q2-CORE,3895,-0.024309335,0.0015032217,-0.019609286,0.031268637627363205
Q2-CORE,3896,-0.025359822,0.0030877925,-0.02456472,0.03544122725725174
Q2-CORE,3897,-0.02613641,0.004803071,-0.030862004,0.04072646051645279
Q2-CORE,3898,-0.026717968,0.0062840544,-0.036549125,0.045707523822784424
Q2-CORE,3899,-0.028456625,0.0078018885,-0.04287181,0.05204460769891739
Q2-CORE,3902,-0.03568253,0.01288994,-0.060934726,0.07178045809268951
Q2-CORE,3903,-0.039273392,0.015035136,-0.067226164,0.07929572463035583
Q2-CORE,3904,-0.041079976,0.01757933,-0.074962184,0.08726927638053894
Q2-CORE,3905,-0.043136496,0.020181527,-0.08430606,0.09682749211788177
Q2-CORE,3906,-0.043200746,0.022768853,-0.09432227,0.1062140092253685
Q2-CORE,3907,-0.04286941,0.02558296,-0.10690146,0.11798388510942459
Q2-CORE,3908,-0.041891403,0.02786368,-0.1191829,0.12936706840991974
Q2-CORE,3909,-0.0408475,0.030276353,-0.13328834,0.14265678822994232
Q2-CORE,3910,-0.04014821,0.032481164,-0.14668415,0.15550930798053741
Q2-CORE,3911,-0.039862297,0.034473278,-0.16116136,0.16955940425395966
Q2-CORE,3912,-0.040662985,0.036704242,-0.17404655,0.1824633628129959
Q2-CORE,3914,-0.04402639,0.041110486,-0.20136827,0.21018461883068085
Q2-CORE,3915,-0.04524131,0.04451689,-0.21665487,0.22576062381267548
Q2-CORE,3916,-0.045658693,0.047363877,-0.23297009,0.24208080768585205
Q2-CORE,3917,-0.044761315,0.05113995,-0.25079983,0.2598450183868408
Q2-CORE,3919,-0.03534722,0.058431976,-0.2960299,0.3038049042224884
Q2-CORE,3920,-0.02637632,0.06212005,-0.32283765,0.3298162519931793
Q2-CORE,3921,-0.016849233,0.0651846,-0.35158426,0.357972651720047
Q2-CORE,3922,-0.0060917153,0.06785314,-0.38205165,0.38807812333106995
Q2-CORE,3923,0.004089815,0.06951553,-0.4125485,0.41838428378105164
Q2-CORE,3924,0.013651075,0.071041346,-0.44397467,0.44982966780662537
Q2-CORE,3925,0.020329209,0.071734756,-0.47301546,0.4788556694984436
Q2-CORE,3926,0.025179228,0.072247826,-0.5018557,0.5076543092727661
Q2-CORE,3927,0.026294114,0.07310704,-0.52798814,0.5336735844612122
Q2-CORE,3928,0.026122704,0.07346108,-0.5542097,0.55966717004776
Q2-CORE,3929,0.023439677,0.074449345,-0.5789025,0.5841405987739563
