instance,node_id,u_x_mm,u_y_mm,u_z_mm,u_mag_mm
Q2-CORE,3887,-0.07380669,-0.019723758,-0.11111119,0.1348412036895752
Q2-CORE,3888,-0.076323904,-0.01754243,-0.12211083,0.14506594836711884
Q2-CORE,3889,-0.07875549,-0.015244558,-0.1337317,0.15594546496868134
Q2-CORE,3890,-0.081116855,-0.012836441,-0.14569235,0.1672452688217163
Q2-CORE,3891,-0.08311404,-0.010345787,-0.15838972,0.1791711002588272
Q2-CORE,3892,-0.08489944,-0.0077280067,-0.17164865,0.1916530579328537
Q2-CORE,3893,-0.08668911,-0.0050093755,-0.1854139,0.20473985373973846
Q2-CORE,3894,-0.087732024,-0.0021215603,-0.20004082,0.21844390034675598
Q2-CORE,3895,-0.08876806,0.0007910915,-0.21542531,0.2329988330602646
Q2-CORE,3896,-0.08908641,0.0038026012,-0.23157153,0.24814556539058685
Q2-CORE,3897,-0.08934453,0.006923683,-0.24841154,0.26408079266548157
Q2-CORE,3898,-0.08875472,0.010158971,-0.26634738,0.2809297740459442
Q2-CORE,3899,-0.08808188,0.013446905,-0.28492317,0.2985304892063141
Q2-CORE,3902,-0.0826368,0.023879074,-0.34631956,0.3568421006202698
Q2-CORE,3903,-0.08002011,0.027380526,-0.36862358,0.37820133566856384
Q2-CORE,3904,-0.07671351,0.031190217,-0.3918758,0.4005301892757416
Q2-CORE,3905,-0.07284102,0.035001256,-0.41627273,0.424044668674469
Q2-CORE,3906,-0.06837695,0.038877614,-0.4417353,0.44868358969688416
Q2-CORE,3907,-0.063205786,0.042747803,-0.46833345,0.47450876235961914
Q2-CORE,3908,-0.057428695,0.0466427,-0.49615917,0.5016447901725769
Q2-CORE,3909,-0.050762005,0.05077135,-0.52523875,0.5301228761672974
Q2-CORE,3910,-0.043280344,0.054884084,-0.5557534,0.5601314902305603
Q2-CORE,3911,-0.034892224,0.0591916,-0.5876737,0.5916768312454224
Q2-CORE,3912,-0.025602166,0.0632097,-0.6210536,0.6247867941856384
Q2-CORE,3914,-0.0042224475,0.07155576,-0.69227004,0.6959711909294128
Q2-CORE,3915,0.008106085,0.07555698,-0.73032516,0.7342679500579834
Q2-CORE,3916,0.020947654,0.079775065,-0.7696777,0.7740843892097473
Q2-CORE,3917,0.035192974,0.083790556,-0.8108785,0.8159555196762085
Q2-CORE,3919,0.06578864,0.091487914,-0.8974492,0.9044961333274841
Q2-CORE,3920,0.081655756,0.09482698,-0.94251996,0.95079106092453
Q2-CORE,3921,0.098750904,0.09840447,-0.98914,0.99891597032547
Q2-CORE,3922,0.11488932,0.10153802,-1.0361944,1.047477126121521
Q2-CORE,3923,0.13146442,0.104390234,-1.0841132,1.097033143043518
Q2-CORE,3924,0.14683,0.10687448,-1.132099,1.1465729475021362
Q2-CORE,3925,0.16178857,0.109210014,-1.1802398,1.1962727308273315
Q2-CORE,3926,0.17511292,0.11114743,-1.2283256,1.245713472366333
Q2-CORE,3927,0.18731871,0.11328453,-1.2761728,1.2948122024536133
Q2-CORE,3928,0.1985341,0.1150334,-1.324307,1.3440377712249756
Q2-CORE,3929,0.21025492,0.117600694,-1.3739928,1.3949527740478516
