instance,node_id,u_x_mm,u_y_mm,u_z_mm,u_mag_mm
Q2-CORE,3887,-0.1536976,-0.03254187,-0.43696284,0.46434733271598816
Q2-CORE,3888,-0.15329136,-0.028911687,-0.4696458,0.4948750436306
Q2-CORE,3889,-0.15231156,-0.025166214,-0.5032397,0.5263860821723938
Q2-CORE,3890,-0.15082426,-0.021310583,-0.53755426,0.5587188005447388
Q2-CORE,3891,-0.14869104,-0.017352968,-0.5729255,0.5921602845191956
Q2-CORE,3892,-0.14597413,-0.013285704,-0.60906506,0.6264544725418091
Q2-CORE,3893,-0.14260863,-0.009113133,-0.64628226,0.6618919968605042
Q2-CORE,3894,-0.13855635,-0.0048349947,-0.68442667,0.698327362537384
Q2-CORE,3895,-0.13378508,-0.00045647472,-0.72366136,0.7359241843223572
Q2-CORE,3896,-0.12829582,0.0040231124,-0.76396966,0.7746777534484863
Q2-CORE,3897,-0.12199295,0.0085944235,-0.8053668,0.8145992159843445
Q2-CORE,3898,-0.11494265,0.013252333,-0.84798163,0.8558388948440552
Q2-CORE,3899,-0.10696519,0.01802738,-0.8917549,0.8983281254768372
Q2-CORE,3902,-0.07787905,0.03276728,-1.0307641,1.0342211723327637
Q2-CORE,3903,-0.066095985,0.03781478,-1.0799197,1.0826010704040527
Q2-CORE,3904,-0.053610478,0.042914197,-1.130273,1.132357120513916
Q2-CORE,3905,-0.039895337,0.048064828,-1.1822028,1.183851957321167
Q2-CORE,3906,-0.025286157,0.053312823,-1.2355825,1.2369905710220337
Q2-CORE,3907,-0.009406981,0.058588013,-1.2905132,1.2918766736984253
Q2-CORE,3908,0.00744759,0.063840136,-1.3470597,1.3485922813415527
Q2-CORE,3909,0.025477007,0.06907345,-1.4051058,1.4070333242416382
Q2-CORE,3910,0.044683386,0.07437657,-1.4649243,1.467491626739502
Q2-CORE,3911,0.06502743,0.07963969,-1.5263062,1.529765248298645
Q2-CORE,3912,0.08649201,0.084935546,-1.5894033,1.5940192937850952
Q2-CORE,3914,0.13319995,0.09538798,-1.7210077,1.7287882566452026
Q2-CORE,3915,0.15833093,0.100468665,-1.7893218,1.7991206645965576
Q2-CORE,3916,0.18476829,0.10547809,-1.8596671,1.8717976808547974
Q2-CORE,3917,0.21210678,0.11040373,-1.9314969,1.946242094039917
Q2-CORE,3919,0.27036473,0.11982484,-2.0805984,2.1015100479125977
Q2-CORE,3920,0.30062124,0.12414731,-2.1575124,2.1818904876708984
Q2-CORE,3921,0.33157945,0.12835951,-2.235601,2.2636988162994385
Q2-CORE,3922,0.362525,0.13206701,-2.3147087,2.346644878387451
Q2-CORE,3923,0.3936597,0.13535035,-2.3947418,2.4306533336639404
Q2-CORE,3924,0.42390567,0.13821377,-2.475112,2.51495099067688
Q2-CORE,3925,0.45264363,0.1410148,-2.5547757,2.5983939170837402
Q2-CORE,3926,0.48131883,0.14346518,-2.6355836,2.683011531829834
Q2-CORE,3927,0.50816995,0.14556827,-2.7157342,2.7667019367218018
Q2-CORE,3928,0.5338213,0.14759205,-2.795733,2.850065231323242
Q2-CORE,3929,0.5594694,0.15098085,-2.8771315,2.934908390045166
Q2-CORE,3930,0.5858937,0.1545267,-2.960445,3.021818161010742
Q2-CORE,3931,0.6177176,0.15900196,-3.0491734,3.1151747703552246
Q2-CORE,3932,0.6559249,0.16627802,-3.1452844,3.217250347137451
Q2-CORE,3933,0.7069427,0.17651282,-3.2538142,3.3344013690948486
Q2-CORE,3934,0.77886176,0.18946306,-3.3812277,3.474942207336426
Q2-CORE,3935,0.87301797,0.20575209,-3.5310278,3.643164873123169
Q2-CORE,3936,1.0032881,0.22404484,-3.712072,3.8517868518829346
Q2-CORE,3937,1.1606345,0.24221988,-3.9204292,4.095791816711426
Q2-CORE,3938,1.3486648,0.25524318,-4.153955,4.374858856201172
Q2-CORE,3939,1.5517312,0.25980633,-4.3861375,4.6597819328308105
Q2-CORE,3988,-0.15006799,-0.00747101,-0.43986,0.46481505036354065
Q2-CORE,3989,-0.14962491,-0.0037242025,-0.47261393,0.49574732780456543
Q2-CORE,3990,-0.1486673,0.00012315065,-0.5061068,0.5274903178215027
Q2-CORE,3991,-0.1471556,0.004093066,-0.5405275,0.5602155923843384
Q2-CORE,3992,-0.14506012,0.008181699,-0.57574534,0.5937946438789368
Q2-CORE,3993,-0.1423515,0.0123670995,-0.6119804,0.6284400224685669
Q2-CORE,3994,-0.13904023,0.01667051,-0.6490488,0.6639837622642517
Q2-CORE,3995,-0.13498938,0.021079794,-0.68724394,0.7006930112838745
Q2-CORE,3996,-0.13029188,0.025600791,-0.7263992,0.7384356260299683
Q2-CORE,3997,-0.12480808,0.030206516,-0.7666488,0.7773287296295166
Q2-CORE,3998,-0.11861798,0.034938753,-0.8080385,0.8174454569816589
