instance,node_id,u_x_mm,u_y_mm,u_z_mm,u_mag_mm
Q2-CORE,3887,-0.07375235,-0.019738305,-0.111144,0.13484063744544983
Q2-CORE,3888,-0.076388456,-0.017528739,-0.12207495,0.14506807923316956
Q2-CORE,3889,-0.07867966,-0.015246775,-0.13378006,0.15594889223575592
Q2-CORE,3890,-0.08108119,-0.012824737,-0.14574264,0.16727088391780853
Q2-CORE,3891,-0.08307151,-0.010299671,-0.15841945,0.17917500436306
Q2-CORE,3892,-0.08490757,-0.0077367425,-0.17166492,0.19167158007621765
Q2-CORE,3893,-0.08664852,-0.0050256588,-0.18543911,0.20474590361118317
Q2-CORE,3894,-0.0877388,-0.0020998642,-0.20005472,0.2184591442346573
Q2-CORE,3895,-0.08875997,0.00080506504,-0.21544428,0.2330133467912674
Q2-CORE,3896,-0.089051954,0.0038456134,-0.23158741,0.24814867973327637
Q2-CORE,3897,-0.08938514,0.006992653,-0.24841332,0.26409804821014404
Q2-CORE,3898,-0.088688806,0.010196589,-0.26639977,0.28095999360084534
Q2-CORE,3899,-0.08803878,0.013444029,-0.28499547,0.2985866367816925
Q2-CORE,3902,-0.082557976,0.02392406,-0.34640348,0.35690832138061523
Q2-CORE,3903,-0.079936646,0.027396873,-0.36869308,0.37825262546539307
Q2-CORE,3904,-0.07669904,0.03117185,-0.3919046,0.4005541503429413
Q2-CORE,3905,-0.07289382,0.03497474,-0.41623402,0.42401355504989624
Q2-CORE,3906,-0.068372205,0.03884571,-0.44179115,0.4487350583076477
Q2-CORE,3907,-0.06323866,0.042768203,-0.46832055,0.4745022654533386
Q2-CORE,3908,-0.057385698,0.046694912,-0.49619505,0.5016802549362183
Q2-CORE,3909,-0.05066859,0.05079767,-0.52537173,0.53024822473526
Q2-CORE,3910,-0.043269612,0.05479213,-0.55579805,0.5601659417152405
Q2-CORE,3911,-0.03483783,0.059083417,-0.58772343,0.591712236404419
Q2-CORE,3912,-0.025593266,0.06319657,-0.6210306,0.624762237071991
Q2-CORE,3914,-0.004191255,0.071524896,-0.69231796,0.696015477180481
Q2-CORE,3915,0.008112622,0.07546394,-0.7303778,0.7343108057975769
Q2-CORE,3916,0.020747166,0.07972088,-0.7695422,0.7739386558532715
Q2-CORE,3917,0.035189763,0.08374142,-0.81088686,0.8159586191177368
Q2-CORE,3919,0.06570166,0.091544814,-0.89736456,0.9044116139411926
Q2-CORE,3920,0.08153517,0.09498378,-0.94238085,0.9506585001945496
Q2-CORE,3921,0.09856821,0.09858925,-0.98907435,0.9988511204719543
Q2-CORE,3922,0.11488006,0.10166662,-1.0362018,1.04749596118927
Q2-CORE,3923,0.13126132,0.104392834,-1.0839227,1.0968208312988281
Q2-CORE,3924,0.1470075,0.10691819,-1.1322043,1.1467036008834839
Q2-CORE,3925,0.16148144,0.10925456,-1.1800795,1.1960771083831787
Q2-CORE,3926,0.17509237,0.11123333,-1.2282587,1.2456523180007935
Q2-CORE,3927,0.18742076,0.1131321,-1.2763139,1.2949527502059937
Q2-CORE,3928,0.19866535,0.11506348,-1.3245065,1.3442562818527222
Q2-CORE,3929,0.2102052,0.11789266,-1.3737541,1.3947348594665527
Q2-CORE,3930,0.22247827,0.12099213,-1.4254493,1.4477711915969849
Q2-CORE,3931,0.23979303,0.12592822,-1.4817243,1.5062752962112427
Q2-CORE,3932,0.2647537,0.13334152,-1.547064,1.575208306312561
Q2-CORE,3933,0.3023371,0.14337453,-1.6242154,1.6583243608474731
Q2-CORE,3934,0.36127764,0.15581533,-1.7206364,1.7650465965270996
Q2-CORE,3935,0.442764,0.17211327,-1.8398226,1.900160551071167
Q2-CORE,3936,0.55910134,0.19051102,-1.989228,2.075070381164551
Q2-CORE,3937,0.7040682,0.20823118,-2.1671343,2.28813099861145
Q2-CORE,3938,0.8790989,0.22087729,-2.3696828,2.537123918533325
Q2-CORE,3939,1.06875,0.22498715,-2.570825,2.793203830718994
Q2-CORE,3988,-0.07224079,-0.0089457,-0.11234222,0.13386386632919312
Q2-CORE,3989,-0.07453241,-0.0066421106,-0.12362032,0.14450322091579437
Q2-CORE,3990,-0.07703489,-0.004247416,-0.13506721,0.15554924309253693
Q2-CORE,3991,-0.07913158,-0.0017335564,-0.14723864,0.1671646684408188
Q2-CORE,3992,-0.08124955,0.0008959994,-0.15984905,0.17931538820266724
Q2-CORE,3993,-0.08308494,0.0036652796,-0.17306504,0.1920105516910553
Q2-CORE,3994,-0.08454101,0.006561473,-0.18696856,0.205298513174057
Q2-CORE,3995,-0.085874625,0.009440936,-0.20160122,0.2193322479724884
Q2-CORE,3996,-0.086676,0.012517631,-0.2167999,0.2338196188211441
Q2-CORE,3997,-0.087463774,0.01571519,-0.23282708,0.24920940399169922
Q2-CORE,3998,-0.08725965,0.018987402,-0.24985223,0.2653316855430603
Q2-CORE,3999,-0.08717498,0.022337832,-0.2675135,0.282244473695755
Q2-CORE,4000,-0.0863067,0.02580645,-0.2860736,0.29992151260375977
Q2-CORE,4001,-0.085165,0.029346474,-0.3055415,0.31854337453842163
Q2-CORE,4002,-0.083330855,0.03292428,-0.32598588,0.338075190782547
Q2-CORE,4003,-0.081403576,0.03658498,-0.3471163,0.35840579867362976
Q2-CORE,4004,-0.078569695,0.040501714,-0.36943352,0.379861444234848
Q2-CORE,4005,-0.07538836,0.044276312,-0.3926876,0.4023025631904602
Q2-CORE,4006,-0.07149849,0.04819849,-0.41697696,0.425799161195755
Q2-CORE,4007,-0.06730147,0.05221667,-0.44224602,0.450374960899353
Q2-CORE,4008,-0.062026583,0.056409404,-0.46887672,0.47631368041038513
Q2-CORE,4009,-0.056182005,0.060674965,-0.4967135,0.5035495758056641
Q2-CORE,4010,-0.049517803,0.064827114,-0.5258543,0.5321440696716309
Q2-CORE,4011,-0.041926347,0.06923186,-0.556383,0.5622392296791077
Q2-CORE,4012,-0.033509925,0.07339644,-0.58840024,0.5939064025878906
Q2-CORE,4013,-0.024070758,0.077773295,-0.62175983,0.6270672678947449
Q2-CORE,4014,-0.013898816,0.08232931,-0.6566914,0.661978006362915
Q2-CORE,4015,-0.0022425856,0.08659253,-0.6934047,0.6987941861152649
Q2-CORE,4016,0.009893337,0.09105065,-0.7314926,0.73720383644104
Q2-CORE,4017,0.023620483,0.09526899,-0.771415,0.7776343822479248
Q2-CORE,4018,0.03779454,0.09956782,-0.8126767,0.8196253180503845
Q2-CORE,4019,0.053466663,0.10366345,-0.85590595,0.8638169765472412
Q2-CORE,4020,0.069345936,0.107568346,-0.9001049,0.9091581702232361
Q2-CORE,4021,0.08657868,0.11156953,-0.9462367,0.9567170739173889
Q2-CORE,4022,0.10336339,0.114880435,-0.99302703,1.0049797296524048
Q2-CORE,4023,0.1211212,0.11819141,-1.0409386,1.054605484008789
Q2-CORE,4024,0.13811293,0.12134553,-1.0895419,1.104944109916687
Q2-CORE,4025,0.1546858,0.12405821,-1.1382575,1.1553995609283447
Q2-CORE,4026,0.17080763,0.1262652,-1.1874813,1.206329107284546
Q2-CORE,4027,0.18502852,0.12844995,-1.2360133,1.2563693523406982
Q2-CORE,4028,0.19853082,0.13057107,-1.284718,1.306508183479309
Q2-CORE,4029,0.21117416,0.13280046,-1.3338976,1.3570237159729004
Q2-CORE,4030,0.22400904,0.1351754,-1.3840754,1.4085869789123535
Q2-CORE,4031,0.23846003,0.1389102,-1.4370997,1.4633574485778809
Q2-CORE,4032,0.25698727,0.14380664,-1.4946418,1.5233768224716187
Q2-CORE,4033,0.28370342,0.15074116,-1.5612808,1.5939913988113403
Q2-CORE,4034,0.3227738,0.16005787,-1.6407757,1.6798650026321411
Q2-CORE,4035,0.38031575,0.17216167,-1.7371315,1.7865904569625854
Q2-CORE,4036,0.46017933,0.18628463,-1.8568683,1.9220890998840332
Q2-CORE,4037,0.5661164,0.20162842,-2.0003455,2.08866548538208
Q2-CORE,4038,0.69956845,0.2153601,-2.1697257,2.289865732192993
Q2-CORE,4039,0.8514241,0.22435984,-2.355144,2.5143516063690186
Q2-CORE,4040,1.0227985,0.2291713,-2.5412543,2.7489287853240967
Q2-CORE,4089,-0.07030689,0.001490105,-0.11395036,0.13390281796455383
Q2-CORE,4090,-0.07287458,0.0039064437,-0.124993555,0.14473891258239746
Q2-CORE,4091,-0.07503194,0.006500058,-0.13669796,0.1560717076063156
Q2-CORE,4092,-0.07729366,0.009129047,-0.14878744,0.1679147183895111
Q2-CORE,4093,-0.079249814,0.011889361,-0.16144711,0.180241659283638
Q2-CORE,4094,-0.08099787,0.014734782,-0.1747236,0.19314788281917572
Q2-CORE,4095,-0.0826141,0.017633215,-0.18858384,0.20663949847221375
Q2-CORE,4096,-0.08385043,0.02079393,-0.20301738,0.22063393890857697
Q2-CORE,4097,-0.08478576,0.023977838,-0.21842161,0.2355240136384964
Q2-CORE,4098,-0.085143395,0.02722866,-0.23447531,0.25093719363212585
Q2-CORE,4099,-0.08556674,0.030617885,-0.2511782,0.26711347699165344
Q2-CORE,4100,-0.08523897,0.03410455,-0.26884136,0.28408533334732056
Q2-CORE,4101,-0.08462421,0.03770175,-0.2872877,0.30185577273368835
Q2-CORE,4102,-0.083401814,0.041332714,-0.30673864,0.3205508589744568
Q2-CORE,4103,-0.08202987,0.04513081,-0.32685044,0.33999544382095337
Q2-CORE,4104,-0.07977769,0.0489975,-0.3481103,0.36048024892807007
Q2-CORE,4105,-0.07731057,0.052854486,-0.37017027,0.38183313608169556
Q2-CORE,4106,-0.074107826,0.056976475,-0.39331093,0.40426695346832275
Q2-CORE,4107,-0.07043819,0.061091796,-0.41757905,0.42786213755607605
Q2-CORE,4108,-0.06591064,0.06530928,-0.44287935,0.45249491930007935
Q2-CORE,4109,-0.060973883,0.069503956,-0.46942255,0.47844135761260986
Q2-CORE,4110,-0.055169947,0.07380655,-0.49704087,0.5055103898048401
Q2-CORE,4111,-0.048507817,0.07837135,-0.5262209,0.5342317223548889
Q2-CORE,4112,-0.040994965,0.08275924,-0.5567113,0.5643200874328613
Q2-CORE,4113,-0.03247816,0.08744111,-0.5886488,0.5959934592247009
Q2-CORE,4114,-0.02298224,0.09197853,-0.6222402,0.6294212341308594
Q2-CORE,4115,-0.012453886,0.096426584,-0.6573744,0.66452556848526
Q2-CORE,4116,-0.00093611144,0.101125754,-0.69406456,0.7013935446739197
Q2-CORE,4117,0.011707283,0.10564496,-0.73246276,0.7401348948478699
Q2-CORE,4118,0.02535171,0.11029964,-0.772483,0.7807295918464661
Q2-CORE,4119,0.040542424,0.11465705,-0.8146487,0.8236761689186096
Q2-CORE,4120,0.0559736,0.11898551,-0.85760707,0.8676292300224304
Q2-CORE,4121,0.07292932,0.12332519,-0.9029168,0.9142135977745056
Q2-CORE,4122,0.090078615,0.12713686,-0.9489741,0.9616806507110596
Q2-CORE,4123,0.10823549,0.13117665,-0.99690604,1.0113080739974976
Q2-CORE,4124,0.12623939,0.13463116,-1.0451888,1.0613583326339722
Q2-CORE,4125,0.14433834,0.1377503,-1.094661,1.112695574760437
Q2-CORE,4126,0.16207829,0.14056775,-1.1442958,1.1642342805862427
Q2-CORE,4127,0.17876983,0.14307672,-1.1940401,1.2157965898513794
Q2-CORE,4128,0.19432661,0.14528987,-1.2432802,1.2667349576950073
Q2-CORE,4129,0.20908216,0.14759207,-1.2932191,1.3182997703552246
Q2-CORE,4130,0.22297966,0.1498658,-1.3428395,1.3694515228271484
Q2-CORE,4131,0.2371068,0.1526064,-1.3943807,1.422605276107788
Q2-CORE,4132,0.2531575,0.15595314,-1.4482207,1.4784293174743652
Q2-CORE,4133,0.2734936,0.1612337,-1.5078048,1.540866732597351
Q2-CORE,4134,0.3024106,0.16779774,-1.5761642,1.6136610507965088
Q2-CORE,4135,0.34210318,0.17636111,-1.6570405,1.7011528015136719
Q2-CORE,4136,0.39961135,0.18730694,-1.7544451,1.809102177619934
Q2-CORE,4137,0.47710514,0.19989118,-1.8741823,1.944259524345398
Q2-CORE,4138,0.57785285,0.21251833,-2.0145025,2.106489658355713
Q2-CORE,4139,0.69945276,0.22383633,-2.1759386,2.2965290546417236
Q2-CORE,4140,0.8397598,0.2318568,-2.3504982,2.5067501068115234
Q2-CORE,4141,0.99244946,0.2344062,-2.5264075,2.724451780319214
Q2-CORE,4190,-0.06851673,0.011740811,-0.11553657,0.13483726978302002
Q2-CORE,4191,-0.07076636,0.014285803,-0.12680794,0.14591853320598602
Q2-CORE,4192,-0.07309871,0.016855367,-0.13840643,0.15742892026901245
Q2-CORE,4193,-0.07518174,0.019632146,-0.15056624,0.1694340705871582
Q2-CORE,4194,-0.07713418,0.022439204,-0.16325444,0.18194836378097534
Q2-CORE,4195,-0.078975745,0.0253895,-0.17644362,0.1949721723794937
Q2-CORE,4196,-0.08046732,0.028548084,-0.1902985,0.20857492089271545
Q2-CORE,4197,-0.081650235,0.031666912,-0.20492062,0.2228497564792633
Q2-CORE,4198,-0.082603954,0.034942873,-0.22010648,0.23767894506454468
Q2-CORE,4199,-0.083336666,0.038342364,-0.23597288,0.2531764805316925
Q2-CORE,4200,-0.08347574,0.041822664,-0.252806,0.26949623227119446
Q2-CORE,4201,-0.083380744,0.04545465,-0.2702387,0.2864392101764679
Q2-CORE,4202,-0.08274489,0.049125098,-0.28871438,0.3043287396430969
Q2-CORE,4203,-0.081900395,0.05297061,-0.30777255,0.3228583335876465
